"date","borough","community_district","count","borough_code","BoroCD"
2020-03-31,"Bronx",1,1943,2,"201"
2020-03-31,"Bronx",2,952,2,"202"
2020-03-31,"Bronx",3,1930,2,"203"
2020-03-31,"Bronx",4,2122,2,"204"
2020-03-31,"Bronx",5,1981,2,"205"
2020-03-31,"Bronx",6,1577,2,"206"
2020-03-31,"Bronx",7,1305,2,"207"
2020-03-31,"Bronx",8,306,2,"208"
2020-03-31,"Bronx",9,1817,2,"209"
2020-03-31,"Bronx",10,532,2,"210"
2020-03-31,"Bronx",11,734,2,"211"
2020-03-31,"Bronx",12,1911,2,"212"
2020-03-31,"Bronx",26,1003.33333333333,2,"226"
2020-03-31,"Bronx",27,1003.33333333333,2,"227"
2020-03-31,"Bronx",28,1003.33333333333,2,"228"
2020-03-31,"Brooklyn",1,446,3,"301"
2020-03-31,"Brooklyn",2,432,3,"302"
2020-03-31,"Brooklyn",3,1662,3,"303"
2020-03-31,"Brooklyn",4,716,3,"304"
2020-03-31,"Brooklyn",5,2478,3,"305"
2020-03-31,"Brooklyn",6,292,3,"306"
2020-03-31,"Brooklyn",7,207,3,"307"
2020-03-31,"Brooklyn",8,771,3,"308"
2020-03-31,"Brooklyn",9,570,3,"309"
2020-03-31,"Brooklyn",10,132,3,"310"
2020-03-31,"Brooklyn",11,196,3,"311"
2020-03-31,"Brooklyn",12,156,3,"312"
2020-03-31,"Brooklyn",13,456,3,"313"
2020-03-31,"Brooklyn",14,491,3,"314"
2020-03-31,"Brooklyn",15,178,3,"315"
2020-03-31,"Brooklyn",16,1563,3,"316"
2020-03-31,"Brooklyn",17,1209,3,"317"
2020-03-31,"Brooklyn",18,782,3,"318"
2020-03-31,"Brooklyn",55,1165,3,"355"
2020-03-31,"Brooklyn",56,1165,3,"356"
2020-03-31,"Manhattan",1,508,1,"101"
2020-03-31,"Manhattan",2,47,1,"102"
2020-03-31,"Manhattan",3,603,1,"103"
2020-03-31,"Manhattan",4,303,1,"104"
2020-03-31,"Manhattan",5,132,1,"105"
2020-03-31,"Manhattan",6,145,1,"106"
2020-03-31,"Manhattan",7,321,1,"107"
2020-03-31,"Manhattan",8,120,1,"108"
2020-03-31,"Manhattan",9,698,1,"109"
2020-03-31,"Manhattan",10,1404,1,"110"
2020-03-31,"Manhattan",11,1317,1,"111"
2020-03-31,"Manhattan",12,704,1,"112"
2020-03-31,"Manhattan",16,3031,1,"116"
2020-03-31,"Queens",1,750,4,"401"
2020-03-31,"Queens",2,376,4,"402"
2020-03-31,"Queens",3,283,4,"403"
2020-03-31,"Queens",4,233,4,"404"
2020-03-31,"Queens",5,203,4,"405"
2020-03-31,"Queens",6,67,4,"406"
2020-03-31,"Queens",7,201,4,"407"
2020-03-31,"Queens",8,299,4,"408"
2020-03-31,"Queens",9,313,4,"409"
2020-03-31,"Queens",10,264,4,"410"
2020-03-31,"Queens",11,33,4,"411"
2020-03-31,"Queens",12,1706,4,"412"
2020-03-31,"Queens",13,686,4,"413"
2020-03-31,"Queens",14,1045,4,"414"
2020-03-31,"Queens",80,356.2,4,"480"
2020-03-31,"Queens",81,356.2,4,"481"
2020-03-31,"Queens",82,356.2,4,"482"
2020-03-31,"Queens",83,356.2,4,"483"
2020-03-31,"Queens",84,356.2,4,"484"
2020-03-31,"Staten Island",1,923,5,"501"
2020-03-31,"Staten Island",2,82,5,"502"
2020-03-31,"Staten Island",3,55,5,"503"
2020-03-31,"Staten Island",95,168,5,"595"
2020-04-30,"Bronx",1,1925,2,"201"
2020-04-30,"Bronx",2,918,2,"202"
2020-04-30,"Bronx",3,1878,2,"203"
2020-04-30,"Bronx",4,2067,2,"204"
2020-04-30,"Bronx",5,1919,2,"205"
2020-04-30,"Bronx",6,1534,2,"206"
2020-04-30,"Bronx",7,1274,2,"207"
2020-04-30,"Bronx",8,290,2,"208"
2020-04-30,"Bronx",9,1772,2,"209"
2020-04-30,"Bronx",10,515,2,"210"
2020-04-30,"Bronx",11,698,2,"211"
2020-04-30,"Bronx",12,1878,2,"212"
2020-04-30,"Bronx",26,981.666666666667,2,"226"
2020-04-30,"Bronx",27,981.666666666667,2,"227"
2020-04-30,"Bronx",28,981.666666666667,2,"228"
2020-04-30,"Brooklyn",1,420,3,"301"
2020-04-30,"Brooklyn",2,423,3,"302"
2020-04-30,"Brooklyn",3,1627,3,"303"
2020-04-30,"Brooklyn",4,690,3,"304"
2020-04-30,"Brooklyn",5,2462,3,"305"
2020-04-30,"Brooklyn",6,277,3,"306"
2020-04-30,"Brooklyn",7,194,3,"307"
2020-04-30,"Brooklyn",8,754,3,"308"
2020-04-30,"Brooklyn",9,548,3,"309"
2020-04-30,"Brooklyn",10,122,3,"310"
2020-04-30,"Brooklyn",11,179,3,"311"
2020-04-30,"Brooklyn",12,152,3,"312"
2020-04-30,"Brooklyn",13,426,3,"313"
2020-04-30,"Brooklyn",14,480,3,"314"
2020-04-30,"Brooklyn",15,173,3,"315"
2020-04-30,"Brooklyn",16,1531,3,"316"
2020-04-30,"Brooklyn",17,1198,3,"317"
2020-04-30,"Brooklyn",18,741,3,"318"
2020-04-30,"Brooklyn",55,1145.5,3,"355"
2020-04-30,"Brooklyn",56,1145.5,3,"356"
2020-04-30,"Manhattan",1,525,1,"101"
2020-04-30,"Manhattan",2,46,1,"102"
2020-04-30,"Manhattan",3,578,1,"103"
2020-04-30,"Manhattan",4,294,1,"104"
2020-04-30,"Manhattan",5,138,1,"105"
2020-04-30,"Manhattan",6,137,1,"106"
2020-04-30,"Manhattan",7,315,1,"107"
2020-04-30,"Manhattan",8,112,1,"108"
2020-04-30,"Manhattan",9,664,1,"109"
2020-04-30,"Manhattan",10,1370,1,"110"
2020-04-30,"Manhattan",11,1341,1,"111"
2020-04-30,"Manhattan",12,684,1,"112"
2020-04-30,"Manhattan",16,3043,1,"116"
2020-04-30,"Queens",1,745,4,"401"
2020-04-30,"Queens",2,361,4,"402"
2020-04-30,"Queens",3,274,4,"403"
2020-04-30,"Queens",4,229,4,"404"
2020-04-30,"Queens",5,207,4,"405"
2020-04-30,"Queens",6,68,4,"406"
2020-04-30,"Queens",7,199,4,"407"
2020-04-30,"Queens",8,286,4,"408"
2020-04-30,"Queens",9,288,4,"409"
2020-04-30,"Queens",10,266,4,"410"
2020-04-30,"Queens",11,34,4,"411"
2020-04-30,"Queens",12,1671,4,"412"
2020-04-30,"Queens",13,666,4,"413"
2020-04-30,"Queens",14,1049,4,"414"
2020-04-30,"Queens",80,359.4,4,"480"
2020-04-30,"Queens",81,359.4,4,"481"
2020-04-30,"Queens",82,359.4,4,"482"
2020-04-30,"Queens",83,359.4,4,"483"
2020-04-30,"Queens",84,359.4,4,"484"
2020-04-30,"Staten Island",1,895,5,"501"
2020-04-30,"Staten Island",2,73,5,"502"
2020-04-30,"Staten Island",3,56,5,"503"
2020-04-30,"Staten Island",95,152,5,"595"
2020-05-31,"Bronx",1,1925,2,"201"
2020-05-31,"Bronx",2,916,2,"202"
2020-05-31,"Bronx",3,1900,2,"203"
2020-05-31,"Bronx",4,2060,2,"204"
2020-05-31,"Bronx",5,1891,2,"205"
2020-05-31,"Bronx",6,1480,2,"206"
2020-05-31,"Bronx",7,1283,2,"207"
2020-05-31,"Bronx",8,286,2,"208"
2020-05-31,"Bronx",9,1764,2,"209"
2020-05-31,"Bronx",10,491,2,"210"
2020-05-31,"Bronx",11,661,2,"211"
2020-05-31,"Bronx",12,1862,2,"212"
2020-05-31,"Bronx",26,987.666666666667,2,"226"
2020-05-31,"Bronx",27,987.666666666667,2,"227"
2020-05-31,"Bronx",28,987.666666666667,2,"228"
2020-05-31,"Brooklyn",1,410,3,"301"
2020-05-31,"Brooklyn",2,426,3,"302"
2020-05-31,"Brooklyn",3,1580,3,"303"
2020-05-31,"Brooklyn",4,662,3,"304"
2020-05-31,"Brooklyn",5,2362,3,"305"
2020-05-31,"Brooklyn",6,261,3,"306"
2020-05-31,"Brooklyn",7,202,3,"307"
2020-05-31,"Brooklyn",8,744,3,"308"
2020-05-31,"Brooklyn",9,557,3,"309"
2020-05-31,"Brooklyn",10,121,3,"310"
2020-05-31,"Brooklyn",11,188,3,"311"
2020-05-31,"Brooklyn",12,150,3,"312"
2020-05-31,"Brooklyn",13,430,3,"313"
2020-05-31,"Brooklyn",14,456,3,"314"
2020-05-31,"Brooklyn",15,169,3,"315"
2020-05-31,"Brooklyn",16,1556,3,"316"
2020-05-31,"Brooklyn",17,1165,3,"317"
2020-05-31,"Brooklyn",18,741,3,"318"
2020-05-31,"Brooklyn",55,1143.5,3,"355"
2020-05-31,"Brooklyn",56,1143.5,3,"356"
2020-05-31,"Manhattan",1,509,1,"101"
2020-05-31,"Manhattan",2,44,1,"102"
2020-05-31,"Manhattan",3,591,1,"103"
2020-05-31,"Manhattan",4,300,1,"104"
2020-05-31,"Manhattan",5,145,1,"105"
2020-05-31,"Manhattan",6,139,1,"106"
2020-05-31,"Manhattan",7,318,1,"107"
2020-05-31,"Manhattan",8,111,1,"108"
2020-05-31,"Manhattan",9,667,1,"109"
2020-05-31,"Manhattan",10,1347,1,"110"
2020-05-31,"Manhattan",11,1303,1,"111"
2020-05-31,"Manhattan",12,673,1,"112"
2020-05-31,"Manhattan",16,3087,1,"116"
2020-05-31,"Queens",1,725,4,"401"
2020-05-31,"Queens",2,356,4,"402"
2020-05-31,"Queens",3,291,4,"403"
2020-05-31,"Queens",4,215,4,"404"
2020-05-31,"Queens",5,209,4,"405"
2020-05-31,"Queens",6,69,4,"406"
2020-05-31,"Queens",7,192,4,"407"
2020-05-31,"Queens",8,276,4,"408"
2020-05-31,"Queens",9,298,4,"409"
2020-05-31,"Queens",10,247,4,"410"
2020-05-31,"Queens",11,34,4,"411"
2020-05-31,"Queens",12,1610,4,"412"
2020-05-31,"Queens",13,659,4,"413"
2020-05-31,"Queens",14,1006,4,"414"
2020-05-31,"Queens",80,356.6,4,"480"
2020-05-31,"Queens",81,356.6,4,"481"
2020-05-31,"Queens",82,356.6,4,"482"
2020-05-31,"Queens",83,356.6,4,"483"
2020-05-31,"Queens",84,356.6,4,"484"
2020-05-31,"Staten Island",1,818,5,"501"
2020-05-31,"Staten Island",2,81,5,"502"
