name,borough,address,postcode,latitude,longitude,community_board,council_district,Comments
Living Room,Bronx,"800 Barretto Street; Bronx, NY 10474",10474,40.816615,-73.889883,202,17,Open 24 hours
Mainchance,Manhattan,"120 E. 32nd Street; New York, NY 10016",1016,40.745377,-73.981306,105,2,Open 24 hours
Olivieri,Manhattan,"257 West 30th Street; New York, NY 10001",10001,40.749139,-73.994016,105,3,Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months
Haven,Bronx,"2640 Third Ave., Bronx, NY 10454",10454,40.812663,-73.924125,201,8,NA
Project Hospitality,Staten Island,"150 Richmond Terrace; Staten Island, NY 10301",10301,40.645821,-74.077908,501,49,Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months
The Gathering Place,Brooklyn,"2402 Atlantic Ave; Brooklyn, NY 11233",11233,40.676015,-73.905105,316,37,Open from 7:30 a.m.-8:30 p.m. This program remain open 24 hours during winter months
Queens Drop In Center,Queens,"100-32 Atlantic Avenue, Jamaica, NY 11416",11416,40.689535,-73.843952,409,28,"Open 24 hours a day, seven days a week, including holidays"
