"date","borough","community_district","count","borough_code","BoroCD","case_count","death_count"
2020-04-30,"Manhattan",12,684,1,"112",109297,12713
2020-04-30,"Manhattan",64,3043,1,"164",109297,12713
2020-04-30,"Queens",1,745,4,"401",109297,12713
2020-04-30,"Queens",2,361,4,"402",109297,12713
2020-04-30,"Queens",3,274,4,"403",109297,12713
2020-04-30,"Queens",4,229,4,"404",109297,12713
2020-04-30,"Queens",5,207,4,"405",109297,12713
2020-04-30,"Queens",6,68,4,"406",109297,12713
2020-04-30,"Queens",7,199,4,"407",109297,12713
2020-04-30,"Queens",8,286,4,"408",109297,12713
2020-04-30,"Queens",9,288,4,"409",109297,12713
2020-04-30,"Queens",10,266,4,"410",109297,12713
2020-04-30,"Queens",11,34,4,"411",109297,12713
2020-04-30,"Queens",12,1671,4,"412",109297,12713
2020-04-30,"Queens",13,666,4,"413",109297,12713
2020-04-30,"Queens",14,1049,4,"414",109297,12713
2020-04-30,"Queens",80,359.4,4,"480",109297,12713
2020-04-30,"Queens",81,359.4,4,"481",109297,12713
2020-04-30,"Queens",82,359.4,4,"482",109297,12713
2020-04-30,"Queens",83,359.4,4,"483",109297,12713
2020-04-30,"Queens",84,359.4,4,"484",109297,12713
2020-04-30,"Staten Island",1,895,5,"501",109297,12713
2020-04-30,"Staten Island",2,73,5,"502",109297,12713
2020-04-30,"Staten Island",3,56,5,"503",109297,12713
2020-04-30,"Staten Island",95,152,5,"595",109297,12713
2020-05-31,"Bronx",1,1925,2,"201",28418,2819
2020-05-31,"Bronx",2,916,2,"202",28418,2819
2020-05-31,"Bronx",3,1900,2,"203",28418,2819
2020-05-31,"Bronx",4,2060,2,"204",28418,2819
2020-05-31,"Bronx",5,1891,2,"205",28418,2819
2020-05-31,"Bronx",6,1480,2,"206",28418,2819
2020-05-31,"Bronx",7,1283,2,"207",28418,2819
2020-05-31,"Bronx",8,286,2,"208",28418,2819
2020-05-31,"Bronx",9,1764,2,"209",28418,2819
2020-05-31,"Bronx",10,491,2,"210",28418,2819
2020-05-31,"Bronx",11,661,2,"211",28418,2819
2020-05-31,"Bronx",12,1862,2,"212",28418,2819
2020-05-31,"Bronx",26,987.666666666667,2,"226",28418,2819
2020-05-31,"Bronx",27,987.666666666667,2,"227",28418,2819
2020-05-31,"Bronx",28,987.666666666667,2,"228",28418,2819
2020-05-31,"Brooklyn",1,410,3,"301",28418,2819
2020-05-31,"Brooklyn",2,426,3,"302",28418,2819
2020-05-31,"Brooklyn",3,1580,3,"303",28418,2819
2020-05-31,"Brooklyn",4,662,3,"304",28418,2819
2020-05-31,"Brooklyn",5,2362,3,"305",28418,2819
2020-05-31,"Brooklyn",6,261,3,"306",28418,2819
2020-05-31,"Brooklyn",7,202,3,"307",28418,2819
2020-05-31,"Brooklyn",8,744,3,"308",28418,2819
2020-05-31,"Brooklyn",9,557,3,"309",28418,2819
2020-05-31,"Brooklyn",10,121,3,"310",28418,2819
2020-05-31,"Brooklyn",11,188,3,"311",28418,2819
