"date","borough","community_district","count"
2020-07-31,"Brooklyn","6",275
2020-07-31,"Brooklyn","7",191
2020-07-31,"Brooklyn","8",705
2020-07-31,"Brooklyn","9",551
2020-07-31,"Brooklyn","10",121
2020-07-31,"Brooklyn","11",183
2020-07-31,"Brooklyn","12",139
2020-07-31,"Brooklyn","13",414
2020-07-31,"Brooklyn","14",453
2020-07-31,"Brooklyn","15",152
2020-07-31,"Brooklyn","16",1494
2020-07-31,"Brooklyn","17",1078
2020-07-31,"Brooklyn","18",743
2020-07-31,"Brooklyn","Unknown CD",2297
2020-07-31,"Manhattan","1",504
2020-07-31,"Manhattan","2",41
2020-07-31,"Manhattan","3",532
2020-07-31,"Manhattan","4",304
2020-07-31,"Manhattan","5",138
2020-07-31,"Manhattan","6",139
2020-07-31,"Manhattan","7",303
2020-07-31,"Manhattan","8",109
2020-07-31,"Manhattan","9",653
2020-07-31,"Manhattan","10",1325
2020-07-31,"Manhattan","11",1301
2020-07-31,"Manhattan","12",638
2020-07-31,"Manhattan","Unknown CD",3143
2020-07-31,"Queens","1",704
2020-07-31,"Queens","2",356
2020-07-31,"Queens","3",283
2020-07-31,"Queens","4",184
2020-07-31,"Queens","5",190
2020-07-31,"Queens","6",66
2020-07-31,"Queens","7",189
2020-07-31,"Queens","8",273
2020-07-31,"Queens","9",304
2020-07-31,"Queens","10",242
2020-07-31,"Queens","11",25
2020-07-31,"Queens","12",1580
2020-07-31,"Queens","13",639
2020-07-31,"Queens","14",984
2020-07-31,"Queens","Unknown CD",1742
2020-07-31,"Staten Island","1",753
2020-07-31,"Staten Island","2",72
2020-07-31,"Staten Island","3",45
2020-07-31,"Staten Island","Unknown CD",138
2020-08-31,"Bronx","1",1903
2020-08-31,"Bronx","2",877
2020-08-31,"Bronx","3",1857
2020-08-31,"Bronx","4",2018
2020-08-31,"Bronx","5",1807
2020-08-31,"Bronx","6",1457
2020-08-31,"Bronx","7",1224
2020-08-31,"Bronx","8",279
2020-08-31,"Bronx","9",1718
2020-08-31,"Bronx","10",482
2020-08-31,"Bronx","11",653
2020-08-31,"Bronx","12",1766
2020-08-31,"Bronx","Unknown CD",2991
2020-08-31,"Brooklyn","1",360
2020-08-31,"Brooklyn","2",405
2020-08-31,"Brooklyn","3",1545
2020-08-31,"Brooklyn","4",641
2020-08-31,"Brooklyn","5",2122
2020-08-31,"Brooklyn","6",257
2020-08-31,"Brooklyn","7",173
2020-08-31,"Brooklyn","8",699
2020-08-31,"Brooklyn","9",572
2020-08-31,"Brooklyn","10",119
2020-08-31,"Brooklyn","11",181
2020-08-31,"Brooklyn","12",142
2020-08-31,"Brooklyn","13",407
2020-08-31,"Brooklyn","14",472
2020-08-31,"Brooklyn","15",149
2020-08-31,"Brooklyn","16",1489
2020-08-31,"Brooklyn","17",1083
2020-08-31,"Brooklyn","18",771
2020-08-31,"Brooklyn","Unknown CD",2290
2020-08-31,"Manhattan","1",516
2020-08-31,"Manhattan","2",36
2020-08-31,"Manhattan","3",544
2020-08-31,"Manhattan","4",304
2020-08-31,"Manhattan","5",135
2020-08-31,"Manhattan","6",143
2020-08-31,"Manhattan","7",312
2020-08-31,"Manhattan","8",104
2020-08-31,"Manhattan","9",646
2020-08-31,"Manhattan","10",1305
2020-08-31,"Manhattan","11",1310
2020-08-31,"Manhattan","12",633
2020-08-31,"Manhattan","Unknown CD",3145
2020-08-31,"Queens","1",710
2020-08-31,"Queens","2",363
2020-08-31,"Queens","3",290
2020-08-31,"Queens","4",182
2020-08-31,"Queens","5",195
2020-08-31,"Queens","6",77
2020-08-31,"Queens","7",187
2020-08-31,"Queens","8",267
2020-08-31,"Queens","9",294
2020-08-31,"Queens","10",241
2020-08-31,"Queens","11",28
2020-08-31,"Queens","12",1530
2020-08-31,"Queens","13",626
2020-08-31,"Queens","14",952
2020-08-31,"Queens","Unknown CD",1755
2020-08-31,"Staten Island","1",749
2020-08-31,"Staten Island","2",82
2020-08-31,"Staten Island","3",49
2020-08-31,"Staten Island","Unknown CD",132
2020-09-30,"Bronx","1",1895
2020-09-30,"Bronx","2",894
2020-09-30,"Bronx","3",1874
2020-09-30,"Bronx","4",1987
2020-09-30,"Bronx","5",1797
2020-09-30,"Bronx","6",1469
2020-09-30,"Bronx","7",1236
2020-09-30,"Bronx","8",280
2020-09-30,"Bronx","9",1721
2020-09-30,"Bronx","10",475
2020-09-30,"Bronx","11",648
2020-09-30,"Bronx","12",1738
2020-09-30,"Bronx","Unknown CD",2979
2020-09-30,"Brooklyn","1",352
2020-09-30,"Brooklyn","2",405
2020-09-30,"Brooklyn","3",1514
2020-09-30,"Brooklyn","4",614
2020-09-30,"Brooklyn","5",2067
2020-09-30,"Brooklyn","6",270
2020-09-30,"Brooklyn","7",172
2020-09-30,"Brooklyn","8",710
2020-09-30,"Brooklyn","9",557
2020-09-30,"Brooklyn","10",116
2020-09-30,"Brooklyn","11",174
2020-09-30,"Brooklyn","12",144
2020-09-30,"Brooklyn","13",419
2020-09-30,"Brooklyn","14",438
2020-09-30,"Brooklyn","15",145
2020-09-30,"Brooklyn","16",1420
2020-09-30,"Brooklyn","17",1051
2020-09-30,"Brooklyn","18",731
2020-09-30,"Brooklyn","Unknown CD",2311
2020-09-30,"Manhattan","1",515
2020-09-30,"Manhattan","2",37
2020-09-30,"Manhattan","3",520
2020-09-30,"Manhattan","4",305
2020-09-30,"Manhattan","5",147
2020-09-30,"Manhattan","6",139
2020-09-30,"Manhattan","7",319
2020-09-30,"Manhattan","8",104
2020-09-30,"Manhattan","9",600
2020-09-30,"Manhattan","10",1290
2020-09-30,"Manhattan","11",1311
2020-09-30,"Manhattan","12",607
2020-09-30,"Manhattan","Unknown CD",3222
2020-09-30,"Queens","1",721
2020-09-30,"Queens","2",349
2020-09-30,"Queens","3",282
2020-09-30,"Queens","4",185
2020-09-30,"Queens","5",194
2020-09-30,"Queens","6",78
2020-09-30,"Queens","7",195
2020-09-30,"Queens","8",272
2020-09-30,"Queens","9",276
2020-09-30,"Queens","10",250
2020-09-30,"Queens","11",24
2020-09-30,"Queens","12",1528
2020-09-30,"Queens","13",603
2020-09-30,"Queens","14",963
2020-09-30,"Queens","Unknown CD",1693
2020-09-30,"Staten Island","1",730
2020-09-30,"Staten Island","2",87
2020-09-30,"Staten Island","3",47
2020-09-30,"Staten Island","Unknown CD",131
2020-10-31,"Bronx","1",1887
2020-10-31,"Bronx","2",888
2020-10-31,"Bronx","3",1842
2020-10-31,"Bronx","4",1986
2020-10-31,"Bronx","5",1801
2020-10-31,"Bronx","6",1486
2020-10-31,"Bronx","7",1192
2020-10-31,"Bronx","8",286
2020-10-31,"Bronx","9",1714
2020-10-31,"Bronx","10",467
2020-10-31,"Bronx","11",659
2020-10-31,"Bronx","12",1743
2020-10-31,"Bronx","Unknown CD",3087
2020-10-31,"Brooklyn","1",341
2020-10-31,"Brooklyn","2",365
2020-10-31,"Brooklyn","3",1505
2020-10-31,"Brooklyn","4",602
2020-10-31,"Brooklyn","5",2041
2020-10-31,"Brooklyn","6",259
2020-10-31,"Brooklyn","7",175
2020-10-31,"Brooklyn","8",712
2020-10-31,"Brooklyn","9",561
2020-10-31,"Brooklyn","10",110
2020-10-31,"Brooklyn","11",171
2020-10-31,"Brooklyn","12",140
2020-10-31,"Brooklyn","13",399
2020-10-31,"Brooklyn","14",417
2020-10-31,"Brooklyn","15",137
2020-10-31,"Brooklyn","16",1464
2020-10-31,"Brooklyn","17",1094
2020-10-31,"Brooklyn","18",724
2020-10-31,"Brooklyn","Unknown CD",2320
2020-10-31,"Manhattan","1",522
2020-10-31,"Manhattan","2",35
2020-10-31,"Manhattan","3",512
2020-10-31,"Manhattan","4",299
2020-10-31,"Manhattan","5",157
2020-10-31,"Manhattan","6",141
2020-10-31,"Manhattan","7",327
2020-10-31,"Manhattan","8",106
2020-10-31,"Manhattan","9",587
2020-10-31,"Manhattan","10",1294
2020-10-31,"Manhattan","11",1294
2020-10-31,"Manhattan","12",613
2020-10-31,"Manhattan","Unknown CD",3236
2020-10-31,"Queens","1",702
2020-10-31,"Queens","2",346
2020-10-31,"Queens","3",289
2020-10-31,"Queens","4",194
2020-10-31,"Queens","5",179
2020-10-31,"Queens","6",79
2020-10-31,"Queens","7",195
2020-10-31,"Queens","8",284
2020-10-31,"Queens","9",275
2020-10-31,"Queens","10",247
2020-10-31,"Queens","11",20
2020-10-31,"Queens","12",1557
2020-10-31,"Queens","13",601
2020-10-31,"Queens","14",981
2020-10-31,"Queens","Unknown CD",1711
2020-10-31,"Staten Island","1",708
2020-10-31,"Staten Island","2",92
2020-10-31,"Staten Island","3",52
2020-10-31,"Staten Island","Unknown CD",139
2020-11-30,"Bronx","1",1835
2020-11-30,"Bronx","2",890
2020-11-30,"Bronx","3",1784
2020-11-30,"Bronx","4",1908
2020-11-30,"Bronx","5",1784
2020-11-30,"Bronx","6",1475
2020-11-30,"Bronx","7",1183
2020-11-30,"Bronx","8",277
2020-11-30,"Bronx","9",1721
2020-11-30,"Bronx","10",470
2020-11-30,"Bronx","11",654
2020-11-30,"Bronx","12",1679
2020-11-30,"Bronx","Unknown CD",3075
2020-11-30,"Brooklyn","1",338
2020-11-30,"Brooklyn","2",384
2020-11-30,"Brooklyn","3",1501
2020-11-30,"Brooklyn","4",572
2020-11-30,"Brooklyn","5",2042
2020-11-30,"Brooklyn","6",256
2020-11-30,"Brooklyn","7",178
2020-11-30,"Brooklyn","8",702
2020-11-30,"Brooklyn","9",566
2020-11-30,"Brooklyn","10",120
2020-11-30,"Brooklyn","11",175
2020-11-30,"Brooklyn","12",131
2020-11-30,"Brooklyn","13",410
2020-11-30,"Brooklyn","14",409
2020-11-30,"Brooklyn","15",137
2020-11-30,"Brooklyn","16",1466
2020-11-30,"Brooklyn","17",1049
2020-11-30,"Brooklyn","18",682
2020-11-30,"Brooklyn","Unknown CD",2315
2020-11-30,"Manhattan","1",566
2020-11-30,"Manhattan","2",35
2020-11-30,"Manhattan","3",521
2020-11-30,"Manhattan","4",305
2020-11-30,"Manhattan","5",169
2020-11-30,"Manhattan","6",140
2020-11-30,"Manhattan","7",327
2020-11-30,"Manhattan","8",110
2020-11-30,"Manhattan","9",572
2020-11-30,"Manhattan","10",1278
2020-11-30,"Manhattan","11",1303
2020-11-30,"Manhattan","12",612
2020-11-30,"Manhattan","Unknown CD",3290
2020-11-30,"Queens","1",683
2020-11-30,"Queens","2",341
2020-11-30,"Queens","3",280
2020-11-30,"Queens","4",188
2020-11-30,"Queens","5",189
2020-11-30,"Queens","6",80
2020-11-30,"Queens","7",204
2020-11-30,"Queens","8",276
2020-11-30,"Queens","9",272
2020-11-30,"Queens","10",232
2020-11-30,"Queens","11",21
2020-11-30,"Queens","12",1524
2020-11-30,"Queens","13",579
2020-11-30,"Queens","14",941
2020-11-30,"Queens","Unknown CD",1674
2020-11-30,"Staten Island","1",691
2020-11-30,"Staten Island","2",79
2020-11-30,"Staten Island","3",50
2020-11-30,"Staten Island","Unknown CD",129
2020-12-31,"Bronx","1",1839
2020-12-31,"Bronx","2",887
2020-12-31,"Bronx","3",1712
2020-12-31,"Bronx","4",1832
2020-12-31,"Bronx","5",1773
2020-12-31,"Bronx","6",1441
2020-12-31,"Bronx","7",1156
2020-12-31,"Bronx","8",273
2020-12-31,"Bronx","9",1726
2020-12-31,"Bronx","10",436
2020-12-31,"Bronx","11",672
2020-12-31,"Bronx","12",1673
2020-12-31,"Bronx","Unknown CD",3110
2020-12-31,"Brooklyn","1",336
2020-12-31,"Brooklyn","2",381
2020-12-31,"Brooklyn","3",1449
2020-12-31,"Brooklyn","4",558
2020-12-31,"Brooklyn","5",1933
2020-12-31,"Brooklyn","6",244
2020-12-31,"Brooklyn","7",168
2020-12-31,"Brooklyn","8",671
2020-12-31,"Brooklyn","9",552
2020-12-31,"Brooklyn","10",117
2020-12-31,"Brooklyn","11",175
2020-12-31,"Brooklyn","12",143
2020-12-31,"Brooklyn","13",403
2020-12-31,"Brooklyn","14",419
2020-12-31,"Brooklyn","15",133
2020-12-31,"Brooklyn","16",1423
2020-12-31,"Brooklyn","17",1032
2020-12-31,"Brooklyn","18",692
2020-12-31,"Brooklyn","Unknown CD",2268
2020-12-31,"Manhattan","1",563
2020-12-31,"Manhattan","2",44
2020-12-31,"Manhattan","3",527
2020-12-31,"Manhattan","4",296
2020-12-31,"Manhattan","5",168
2020-12-31,"Manhattan","6",147
2020-12-31,"Manhattan","7",311
2020-12-31,"Manhattan","8",108
2020-12-31,"Manhattan","9",554
2020-12-31,"Manhattan","10",1281
2020-12-31,"Manhattan","11",1277
2020-12-31,"Manhattan","12",635
2020-12-31,"Manhattan","Unknown CD",3355
2020-12-31,"Queens","1",655
2020-12-31,"Queens","2",336
2020-12-31,"Queens","3",277
2020-12-31,"Queens","4",187
2020-12-31,"Queens","5",200
2020-12-31,"Queens","6",72
2020-12-31,"Queens","7",200
2020-12-31,"Queens","8",272
2020-12-31,"Queens","9",254
2020-12-31,"Queens","10",223
2020-12-31,"Queens","11",22
2020-12-31,"Queens","12",1500
2020-12-31,"Queens","13",549
2020-12-31,"Queens","14",927
2020-12-31,"Queens","Unknown CD",1631
2020-12-31,"Staten Island","1",666
2020-12-31,"Staten Island","2",73
2020-12-31,"Staten Island","3",50
2020-12-31,"Staten Island","Unknown CD",144
2021-01-31,"Bronx","1",1838
2021-01-31,"Bronx","2",898
2021-01-31,"Bronx","3",1664
2021-01-31,"Bronx","4",1813
2021-01-31,"Bronx","5",1770
2021-01-31,"Bronx","6",1422
2021-01-31,"Bronx","7",1145
2021-01-31,"Bronx","8",264
2021-01-31,"Bronx","9",1661
2021-01-31,"Bronx","10",414
2021-01-31,"Bronx","11",646
2021-01-31,"Bronx","12",1600
2021-01-31,"Bronx","Unknown CD",3200
2021-01-31,"Brooklyn","1",341
2021-01-31,"Brooklyn","2",373
2021-01-31,"Brooklyn","3",1385
2021-01-31,"Brooklyn","4",577
2021-01-31,"Brooklyn","5",1924
2021-01-31,"Brooklyn","6",267
2021-01-31,"Brooklyn","7",181
2021-01-31,"Brooklyn","8",666
2021-01-31,"Brooklyn","9",533
2021-01-31,"Brooklyn","10",118
2021-01-31,"Brooklyn","11",169
2021-01-31,"Brooklyn","12",147
2021-01-31,"Brooklyn","13",378
2021-01-31,"Brooklyn","14",422
2021-01-31,"Brooklyn","15",134
2021-01-31,"Brooklyn","16",1379
2021-01-31,"Brooklyn","17",1021
2021-01-31,"Brooklyn","18",686
2021-01-31,"Brooklyn","Unknown CD",2243
2021-01-31,"Manhattan","1",607
2021-01-31,"Manhattan","2",41
2021-01-31,"Manhattan","3",538
2021-01-31,"Manhattan","4",288
2021-01-31,"Manhattan","5",151
2021-01-31,"Manhattan","6",138
2021-01-31,"Manhattan","7",321
2021-01-31,"Manhattan","8",113
2021-01-31,"Manhattan","9",566
2021-01-31,"Manhattan","10",1291
2021-01-31,"Manhattan","11",1262
2021-01-31,"Manhattan","12",617
2021-01-31,"Manhattan","Unknown CD",3431
2021-01-31,"Queens","1",667
2021-01-31,"Queens","2",322
2021-01-31,"Queens","3",283
2021-01-31,"Queens","4",198
2021-01-31,"Queens","5",195
2021-01-31,"Queens","6",66
2021-01-31,"Queens","7",199
2021-01-31,"Queens","8",270
2021-01-31,"Queens","9",273
2021-01-31,"Queens","10",231
2021-01-31,"Queens","11",26
2021-01-31,"Queens","12",1469
2021-01-31,"Queens","13",539
2021-01-31,"Queens","14",932
2021-01-31,"Queens","Unknown CD",1633
2021-01-31,"Staten Island","1",679
2021-01-31,"Staten Island","2",75
2021-01-31,"Staten Island","3",46
2021-01-31,"Staten Island","Unknown CD",145
2021-02-28,"Bronx","1",1818
2021-02-28,"Bronx","2",875
2021-02-28,"Bronx","3",1653
2021-02-28,"Bronx","4",1811
2021-02-28,"Bronx","5",1738
2021-02-28,"Bronx","6",1359
2021-02-28,"Bronx","7",1125
2021-02-28,"Bronx","8",256
2021-02-28,"Bronx","9",1619
2021-02-28,"Bronx","10",408
2021-02-28,"Bronx","11",641
2021-02-28,"Bronx","12",1571
2021-02-28,"Bronx","Unknown CD",3216
2021-02-28,"Brooklyn","1",340
2021-02-28,"Brooklyn","2",381
2021-02-28,"Brooklyn","3",1371
2021-02-28,"Brooklyn","4",565
2021-02-28,"Brooklyn","5",1871
2021-02-28,"Brooklyn","6",272
2021-02-28,"Brooklyn","7",189
2021-02-28,"Brooklyn","8",639
2021-02-28,"Brooklyn","9",546
2021-02-28,"Brooklyn","10",107
2021-02-28,"Brooklyn","11",174
2021-02-28,"Brooklyn","12",138
2021-02-28,"Brooklyn","13",393
2021-02-28,"Brooklyn","14",412
2021-02-28,"Brooklyn","15",134
2021-02-28,"Brooklyn","16",1384
2021-02-28,"Brooklyn","17",1014
2021-02-28,"Brooklyn","18",677
2021-02-28,"Brooklyn","Unknown CD",2246
2021-02-28,"Manhattan","1",586
2021-02-28,"Manhattan","2",37
2021-02-28,"Manhattan","3",540
2021-02-28,"Manhattan","4",297
2021-02-28,"Manhattan","5",159
2021-02-28,"Manhattan","6",123
2021-02-28,"Manhattan","7",317
2021-02-28,"Manhattan","8",113
2021-02-28,"Manhattan","9",548
2021-02-28,"Manhattan","10",1254
2021-02-28,"Manhattan","11",1305
2021-02-28,"Manhattan","12",625
2021-02-28,"Manhattan","Unknown CD",3413
2021-02-28,"Queens","1",663
2021-02-28,"Queens","2",310
2021-02-28,"Queens","3",271
2021-02-28,"Queens","4",187
2021-02-28,"Queens","5",198
2021-02-28,"Queens","6",59
2021-02-28,"Queens","7",199
2021-02-28,"Queens","8",261
2021-02-28,"Queens","9",273
2021-02-28,"Queens","10",219
2021-02-28,"Queens","11",20
2021-02-28,"Queens","12",1427
2021-02-28,"Queens","13",525
2021-02-28,"Queens","14",897
