"date","borough","community_district","count"
2020-03-31,"Bronx","1",1943
2020-03-31,"Bronx","2",952
2020-03-31,"Bronx","3",1930
2020-03-31,"Bronx","4",2122
2020-03-31,"Bronx","5",1981
2020-03-31,"Bronx","6",1577
2020-03-31,"Bronx","7",1305
2020-03-31,"Bronx","8",306
2020-03-31,"Bronx","9",1817
2020-03-31,"Bronx","10",532
2020-03-31,"Bronx","11",734
2020-03-31,"Bronx","12",1911
2020-03-31,"Bronx","Unknown CD",3010
2020-03-31,"Brooklyn","1",446
2020-03-31,"Brooklyn","2",432
2020-03-31,"Brooklyn","3",1662
2020-03-31,"Brooklyn","4",716
2020-03-31,"Brooklyn","5",2478
2020-03-31,"Brooklyn","6",292
2020-03-31,"Brooklyn","7",207
2020-03-31,"Brooklyn","8",771
2020-03-31,"Brooklyn","9",570
2020-03-31,"Brooklyn","10",132
2020-03-31,"Brooklyn","11",196
2020-03-31,"Brooklyn","12",156
2020-03-31,"Brooklyn","13",456
2020-03-31,"Brooklyn","14",491
2020-03-31,"Brooklyn","15",178
2020-03-31,"Brooklyn","16",1563
2020-03-31,"Brooklyn","17",1209
2020-03-31,"Brooklyn","18",782
2020-03-31,"Brooklyn","Unknown CD",2330
2020-03-31,"Manhattan","1",508
2020-03-31,"Manhattan","2",47
2020-03-31,"Manhattan","3",603
2020-03-31,"Manhattan","4",303
2020-03-31,"Manhattan","5",132
2020-03-31,"Manhattan","6",145
2020-03-31,"Manhattan","7",321
2020-03-31,"Manhattan","8",120
2020-03-31,"Manhattan","9",698
2020-03-31,"Manhattan","10",1404
2020-03-31,"Manhattan","11",1317
2020-03-31,"Manhattan","12",704
2020-03-31,"Manhattan","Unknown CD",3031
2020-03-31,"Queens","1",750
2020-03-31,"Queens","2",376
2020-03-31,"Queens","3",283
2020-03-31,"Queens","4",233
2020-03-31,"Queens","5",203
2020-03-31,"Queens","6",67
2020-03-31,"Queens","7",201
2020-03-31,"Queens","8",299
2020-03-31,"Queens","9",313
2020-03-31,"Queens","10",264
2020-03-31,"Queens","11",33
2020-03-31,"Queens","12",1706
2020-03-31,"Queens","13",686
2020-03-31,"Queens","14",1045
2020-03-31,"Queens","Unknown CD",1781
2020-03-31,"Staten Island","1",923
2020-03-31,"Staten Island","2",82
2020-03-31,"Staten Island","3",55
2020-03-31,"Staten Island","Unknown CD",168
2020-04-30,"Bronx","1",1925
2020-04-30,"Bronx","2",918
2020-04-30,"Bronx","3",1878
2020-04-30,"Bronx","4",2067
2020-04-30,"Bronx","5",1919
2020-04-30,"Bronx","6",1534
2020-04-30,"Bronx","7",1274
2020-04-30,"Bronx","8",290
2020-04-30,"Bronx","9",1772
2020-04-30,"Bronx","10",515
2020-04-30,"Bronx","11",698
2020-04-30,"Bronx","12",1878
2020-04-30,"Bronx","Unknown CD",2945
2020-04-30,"Brooklyn","1",420
2020-04-30,"Brooklyn","2",423
2020-04-30,"Brooklyn","3",1627
2020-04-30,"Brooklyn","4",690
2020-04-30,"Brooklyn","5",2462
2020-04-30,"Brooklyn","6",277
2020-04-30,"Brooklyn","7",194
2020-04-30,"Brooklyn","8",754
2020-04-30,"Brooklyn","9",548
2020-04-30,"Brooklyn","10",122
2020-04-30,"Brooklyn","11",179
2020-04-30,"Brooklyn","12",152
2020-04-30,"Brooklyn","13",426
2020-04-30,"Brooklyn","14",480
2020-04-30,"Brooklyn","15",173
2020-04-30,"Brooklyn","16",1531
2020-04-30,"Brooklyn","17",1198
2020-04-30,"Brooklyn","18",741
2020-04-30,"Brooklyn","Unknown CD",2291
2020-04-30,"Manhattan","1",525
2020-04-30,"Manhattan","2",46
2020-04-30,"Manhattan","3",578
2020-04-30,"Manhattan","4",294
2020-04-30,"Manhattan","5",138
2020-04-30,"Manhattan","6",137
2020-04-30,"Manhattan","7",315
2020-04-30,"Manhattan","8",112
2020-04-30,"Manhattan","9",664
2020-04-30,"Manhattan","10",1370
2020-04-30,"Manhattan","11",1341
2020-04-30,"Manhattan","12",684
2020-04-30,"Manhattan","Unknown CD",3043
2020-04-30,"Queens","1",745
2020-04-30,"Queens","2",361
2020-04-30,"Queens","3",274
2020-04-30,"Queens","4",229
2020-04-30,"Queens","5",207
2020-04-30,"Queens","6",68
2020-04-30,"Queens","7",199
2020-04-30,"Queens","8",286
2020-04-30,"Queens","9",288
2020-04-30,"Queens","10",266
2020-04-30,"Queens","11",34
2020-04-30,"Queens","12",1671
2020-04-30,"Queens","13",666
2020-04-30,"Queens","14",1049
2020-04-30,"Queens","Unknown CD",1797
2020-04-30,"Staten Island","1",895
2020-04-30,"Staten Island","2",73
2020-04-30,"Staten Island","3",56
2020-04-30,"Staten Island","Unknown CD",152
2020-05-31,"Bronx","1",1925
2020-05-31,"Bronx","2",916
2020-05-31,"Bronx","3",1900
2020-05-31,"Bronx","4",2060
2020-05-31,"Bronx","5",1891
2020-05-31,"Bronx","6",1480
2020-05-31,"Bronx","7",1283
2020-05-31,"Bronx","8",286
2020-05-31,"Bronx","9",1764
2020-05-31,"Bronx","10",491
2020-05-31,"Bronx","11",661
2020-05-31,"Bronx","12",1862
2020-05-31,"Bronx","Unknown CD",2963
2020-05-31,"Brooklyn","1",410
2020-05-31,"Brooklyn","2",426
2020-05-31,"Brooklyn","3",1580
2020-05-31,"Brooklyn","4",662
2020-05-31,"Brooklyn","5",2362
2020-05-31,"Brooklyn","6",261
2020-05-31,"Brooklyn","7",202
2020-05-31,"Brooklyn","8",744
2020-05-31,"Brooklyn","9",557
2020-05-31,"Brooklyn","10",121
2020-05-31,"Brooklyn","11",188
2020-05-31,"Brooklyn","12",150
2020-05-31,"Brooklyn","13",430
2020-05-31,"Brooklyn","14",456
2020-05-31,"Brooklyn","15",169
2020-05-31,"Brooklyn","16",1556
2020-05-31,"Brooklyn","17",1165
2020-05-31,"Brooklyn","18",741
2020-05-31,"Brooklyn","Unknown CD",2287
2020-05-31,"Manhattan","1",509
2020-05-31,"Manhattan","2",44
2020-05-31,"Manhattan","3",591
2020-05-31,"Manhattan","4",300
2020-05-31,"Manhattan","5",145
2020-05-31,"Manhattan","6",139
2020-05-31,"Manhattan","7",318
2020-05-31,"Manhattan","8",111
2020-05-31,"Manhattan","9",667
2020-05-31,"Manhattan","10",1347
2020-05-31,"Manhattan","11",1303
2020-05-31,"Manhattan","12",673
2020-05-31,"Manhattan","Unknown CD",3087
2020-05-31,"Queens","1",725
2020-05-31,"Queens","2",356
2020-05-31,"Queens","3",291
2020-05-31,"Queens","4",215
2020-05-31,"Queens","5",209
2020-05-31,"Queens","6",69
2020-05-31,"Queens","7",192
2020-05-31,"Queens","8",276
2020-05-31,"Queens","9",298
2020-05-31,"Queens","10",247
2020-05-31,"Queens","11",34
2020-05-31,"Queens","12",1610
2020-05-31,"Queens","13",659
2020-05-31,"Queens","14",1006
2020-05-31,"Queens","Unknown CD",1783
2020-05-31,"Staten Island","1",818
2020-05-31,"Staten Island","2",81
2020-05-31,"Staten Island","3",50
2020-05-31,"Staten Island","Unknown CD",154
2020-06-30,"Bronx","1",1870
2020-06-30,"Bronx","2",905
2020-06-30,"Bronx","3",1860
2020-06-30,"Bronx","4",2063
2020-06-30,"Bronx","5",1845
2020-06-30,"Bronx","6",1470
2020-06-30,"Bronx","7",1247
2020-06-30,"Bronx","8",281
2020-06-30,"Bronx","9",1713
2020-06-30,"Bronx","10",483
2020-06-30,"Bronx","11",671
2020-06-30,"Bronx","12",1803
2020-06-30,"Bronx","Unknown CD",2990
2020-06-30,"Brooklyn","1",397
2020-06-30,"Brooklyn","2",410
2020-06-30,"Brooklyn","3",1544
2020-06-30,"Brooklyn","4",645
2020-06-30,"Brooklyn","5",2288
2020-06-30,"Brooklyn","6",269
2020-06-30,"Brooklyn","7",201
2020-06-30,"Brooklyn","8",726
2020-06-30,"Brooklyn","9",553
2020-06-30,"Brooklyn","10",111
2020-06-30,"Brooklyn","11",183
2020-06-30,"Brooklyn","12",146
2020-06-30,"Brooklyn","13",409
2020-06-30,"Brooklyn","14",461
2020-06-30,"Brooklyn","15",165
2020-06-30,"Brooklyn","16",1569
2020-06-30,"Brooklyn","17",1106
2020-06-30,"Brooklyn","18",733
2020-06-30,"Brooklyn","Unknown CD",2315
2020-06-30,"Manhattan","1",513
2020-06-30,"Manhattan","2",41
2020-06-30,"Manhattan","3",580
2020-06-30,"Manhattan","4",296
2020-06-30,"Manhattan","5",145
2020-06-30,"Manhattan","6",147
2020-06-30,"Manhattan","7",303
2020-06-30,"Manhattan","8",109
2020-06-30,"Manhattan","9",656
2020-06-30,"Manhattan","10",1334
2020-06-30,"Manhattan","11",1307
2020-06-30,"Manhattan","12",647
2020-06-30,"Manhattan","Unknown CD",3187
2020-06-30,"Queens","1",713
2020-06-30,"Queens","2",361
2020-06-30,"Queens","3",290
2020-06-30,"Queens","4",209
2020-06-30,"Queens","5",200
2020-06-30,"Queens","6",67
2020-06-30,"Queens","7",187
2020-06-30,"Queens","8",280
2020-06-30,"Queens","9",286
2020-06-30,"Queens","10",243
2020-06-30,"Queens","11",27
2020-06-30,"Queens","12",1590
2020-06-30,"Queens","13",656
2020-06-30,"Queens","14",964
2020-06-30,"Queens","Unknown CD",1775
2020-06-30,"Staten Island","1",776
2020-06-30,"Staten Island","2",73
2020-06-30,"Staten Island","3",53
2020-06-30,"Staten Island","Unknown CD",149
2020-07-31,"Bronx","1",1926
2020-07-31,"Bronx","2",912
2020-07-31,"Bronx","3",1810
2020-07-31,"Bronx","4",2053
2020-07-31,"Bronx","5",1859
2020-07-31,"Bronx","6",1460
2020-07-31,"Bronx","7",1225
2020-07-31,"Bronx","8",283
2020-07-31,"Bronx","9",1716
2020-07-31,"Bronx","10",474
2020-07-31,"Bronx","11",674
2020-07-31,"Bronx","12",1791
2020-07-31,"Bronx","Unknown CD",2989
2020-07-31,"Brooklyn","1",385
2020-07-31,"Brooklyn","2",418
2020-07-31,"Brooklyn","3",1568
2020-07-31,"Brooklyn","4",658
2020-07-31,"Brooklyn","5",2180
