"date","case_count","death_count"
2021-01-31,137631,2074
2022-01-31,454648,3025
2021-02-28,86479,2103
2022-02-28,22501,798
2020-03-31,65183,2187
2021-03-31,92039,1749
2020-04-30,109297,12713
2021-04-30,54335,1222
2020-05-31,28418,2819
2021-05-31,13568,565
2020-06-30,10845,679
2021-06-30,5262,196
2020-07-31,9786,239
2021-07-31,18791,117
2020-08-31,7446,113
2021-08-31,46406,302
2020-09-30,11100,119
2021-09-30,39065,385
2020-10-31,16926,158
2021-10-31,25236,295
2020-11-30,44750,328
2021-11-30,31959,240
2020-12-31,97762,1019
2021-12-31,504043,664
